location,rooms,total_listings,latitude,longitude
Epone (78680),4 chambres3 chambres4 chambres4 chambres,4,48.9573716,1.8126696
Eragny (95610),1 chambre,1,49.0192178,2.0910817
Esbly (77450),8,1,48.9009645,2.8130733
Esmans (77940),"4 chambres,Type  cuisine : Cuisine indépendante,Cheminée",1,48.3481392,2.9761408
Etampes (91150),5 chambres5 chambres1 chambre2 chambres,4,48.4344621,2.1614464
Feucherolles (78810),4 chambres,1,48.8725969,1.9723953
Flins sur seine (78410),4 chambres,1,48.9623407,1.8684146
Fontaine la riviere (91690),2 chambres,1,48.357834,2.1540757
Fontainebleau (77300),3 chambres,2,48.4049375,2.7015872
Fontenay aux roses (92260),2 chambres1 chambre3 chambres1 chambre2 chambres1 chambre1 chambre,7,48.7911052,2.2870373
Fontenay sous bois (94120),2 chambres3 chambres1 chambre2 chambres1 chambre3 chambres2 chambres,7,48.8490721,2.4749347
Fontenay tresigny (77610),3 chambres,1,48.7100369,2.8722456
Fontenay-les-briis (91640),1 chambre,1,48.61939,2.15475
Fontenay-sous-bois (94120),"4 chambres2 chambres,Type  cuisine : Cuisine séparée équipée",2,48.8490721,2.4749347
Fontenay-trésigny (77610),"1 chambre,1 salle de bain",1,48.7100369,2.8722456
Franconville (95130),544,3,48.5000906,6.4527267
Freneuse (78840),3 chambres,1,49.3122251,1.0785477
Frepillon (95740),"5 chambres,1 salle de bain,1 salle d'eau",1,49.0512302,2.2032431
Fresnes (94260),1 chambre1 chambre,3,49.5544444,3.3705556
Gambais (78950),"4 chambres,2 salles de bain,2 toilettes séparées",1,48.7746509,1.6726872
Garches (92380),"3 chambres3 chambres,Type  cuisine : Cuisine indépendante2 chambres,Type  cuisine : Cuisine indépendante",3,48.8437486,2.1853699
Garges les gonesse (95140),0,1,48.9703841,2.399024
Gennevilliers (92230),1 chambre3 chambres3 chambres,3,48.9254221,2.2940122
Gif sur yvette (91190),3 chambres,1,48.7018823,2.134529
Gif-sur-yvette (91190),"4 chambres4 chambres,Cheminée2 chambres,Type  cuisine : Cuisine séparée équipée",3,48.7018823,2.134529
Gironville-sur-essonne (91720),4 chambres,1,48.3729686,2.3788223
Gometz la ville (91400),2 chambres,1,48.6718036,2.1250543
Gommecourt (78270),2 chambres,1,50.1401187,2.6441058
Gournay-sur-marne (93460),4 chambres,1,48.8598434,2.576913
Goussainville (95190),"21 chambre,Type  cuisine : Cuisine américaine,Cheminée4 chambres",3,49.0323168,2.4733628
Goussonville (78930),"Type  cuisine : Coin Cuisine,1 salle de bain",1,48.9195516,1.7669261
Gouvernes (77400),5 chambres,1,48.8598385,2.6927897
Grigny (91350),2 chambres2 chambres,2,50.3856239,2.065831
Grisy les platres (95810),3 chambres4 chambres4 chambres,3,49.130876,2.0499726
Grisy-suisnes (77166),4 chambres,1,48.6851555,2.6654299
Groslay (95410),1 chambre,1,48.9867112,2.3458615
Guerard (77580),3 chambres,1,48.8239829,2.9580234
Guerville (78930),"5 chambres,1 salle de bain",1,49.95814,1.5129
Guignes (77390),"43 chambres,Type  cuisine : Cuisine indépendante",2,48.6354878,2.7954418
Guyancourt (78280),"2 chambres,Type  cuisine : Cuisine américaine,1 salle de bain,1 toilettes séparées3 chambres,Type  cuisine : Cuisine indépendante",2,48.7709414,2.0706084
Herblay sur seine (95220),4 chambres,1,48.9898588,2.166162
Herblay-sur-seine (95220),4 chambres,1,48.9898588,2.166162
Houdan (78550),4 chambres4 chambres3 chambres4 chambres3 chambres4 chambres,6,48.7912001,1.6019247
Issy les moulineaux (92130),33 chambres3 chambres3 chambres2 chambres1 chambre2 chambres1 chambre,8,48.8250508,2.273457
Issy-les-moulineaux (92130),3 chambres,1,48.8250508,2.273457
Issy-les-moulineaux (h... (92130),"3 chambres,1 salle de bain,1 salle d'eau",1,48.8250508,2.273457
Itteville (91760),4 chambres,1,48.5145073,2.3418427
Ivry sur seine (94200),1 chambre,1,48.8122302,2.3872525
Ivry-sur-seine (94200),"1 chambre,1 salle de bain2 chambres",2,48.8122302,2.3872525
Janvry (91640),4 chambres,1,49.2459051,3.8767333
Joinville le pont (94340),3 chambres,1,48.8183717,2.4668077
Jouars-pontchartrain (78760),3 chambres,1,48.8031144,1.9001795
Jouy en josas (78350),10 chambres2 chambres,2,48.76464,2.1684529
Jouy-le-moutier (95280),4 chambres,1,49.0116,2.03194
Juvisy sur orge (91260),6 chambres,1,48.6904063,2.373809
Juziers (78820),43,2,48.9930105,1.8457137
L hay les roses (94240),2 chambres,1,48.7790514,2.3373021
L isle adam (95290),6,1,49.1125294,2.2186324
L' etang-la-ville (78620),5 chambres5 chambres5 chambres5 chambres,4,48.8707694,2.0726292
L'haÿ-les-roses (94240),2 chambres,1,48.7790514,2.3373021
L'isle adam (95290),"3 chambres,Type  cuisine : Cuisine séparée équipée,2 salles d'eau",1,49.1125294,2.2186324
La celle saint cloud (78170),2 chambres,1,48.8478753,2.136145
La chapelle gauthier (77720),4 chambres,1,48.9863454,0.4622286
La chapelle-gauthier (77720),3 chambres3 chambres,2,48.9863454,0.4622286
La croix en brie (77370),4 chambres,1,48.5916035,3.0734585
La falaise (78410),4 chambres,1,48.9445736,1.8324087
La ferte sous jouarre (77260),55 chambres,2,48.9502287,3.1296757
La ferte-sous-jouarre (77260),4 chambres2 chambres3 chambres1 chambre,4,48.9502287,3.1296757
La ferté-gaucher (77320),"3 chambres,Type  cuisine : Cuisine équipée4 chambres",2,48.7812807,3.305711
La ferté-sous-jouarre (77260),"3 chambres3 chambres4 chambres3 chambres2 chambres,Type  cuisine : Cuisine indépendante",6,48.9502287,3.1296757
La garenne colombes (92250),1 chambre,1,48.9069349,2.2465748
